kanji,frame,key word,components,on_reading,kun_reading,stroke_count,jlpt
寄,204,draw near,house; strange; large; St. Bernard; can; street; nail; spike; mouth,キ,よ.る; -よ.り; よ.せる,11,N3
富,205,wealth,house; one; ceiling; mouth; rice field; brains,フ; フウ,と.む; とみ,12,N3
貯,206,savings,shellfish; clam; oyster; eye; animal legs; eight; house; street; nail; spike,チョ,た.める; たくわ.える,12,N2
木,207,tree,wood,ボク; モク,き; こ-,4,N5
林,208,grove,tree; wood,リン,はやし,8,N2
森,209,forest,tree; wood,シン,もり,12,N2
桂,210,Japanese Judas-tree,Japanese Judas tree; tree; wood; ivy; square jewel; soil; dirt; ground,ケイ,かつら,10,N1
柏,211,oak,tree; wood; white; dove,ハク; ヒャク; ビャク,かしわ,9
枠,212,frame,tree; wood; ninety; nine; baseball; ten; needle,,わく,8,N1
梢,213,treetops,tree; wood; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,こずえ; くすのき,11,N1
棚,214,shelf,tree; wood; companion; moon; month; flesh; part of the body; flesh,ホウ,たな; -だな,12,N1
杏,215,apricot,tree; wood; mouth,キョウ; アン; コウ,あんず,7,N1
桐,216,paulownia,tree; wood; same; monks; hood; one; mouth,トウ; ドウ,きり,10,N1
植,217,plant,tree; wood; straightaway; ten; needle; eye; fishhook,ショク,う.える; う.わる,12,N2
椅,218,chair,tree; wood; strange; large; St. Bernard; street; nail; spike; mouth,イ,,12
枯,219,wither,tree; wood; old; tombstone; gravestone; church; ten; needle; mouth,コ,か.れる; か.らす,9,N2
朴,220,crude,tree; wood; magic wand; augury,ボク,ほう; ほお; えのき,6,N1
村,221,village,tree; wood; measure; glue,ソン,むら,7,N2
相,222,inter-,tree; wood; eye,ソウ; ショウ,あい-,9,N3
机,223,desk,tree; wood; wind,キ,つくえ,6,N2
本,224,book,tree; wood; one,ホン,もと,5,N5
札,225,tag,tree; wood; fishhook,サツ,ふだ,5,N2
暦,226,calendar,cliff; grove; tree; wood; sun; day,レキ,こよみ; りゃく,14,N1
案,227,plan,relax; house; woman; tree; wood,アン,つくえ,10,N1
燥,228,parch,fire; furniture; wooden goods; mouth; tree; wood,ソウ,はしゃ.ぐ,17,N2
未,229,not yet,tree; wood; one,ミ; ビ,いま.だ; ま.だ; ひつじ,5,N3
末,230,extremity,tree; wood; one,マツ; バツ,すえ,9
昧,231,obscure,sun; not yet; one; tree; wood,マイ; バイ,くら.い; むさぼ.る,5,N3
沫,232,splash,water; water droplets; water pistol; extremity; one; tree; wood,マツ; バツ,あわ; しぶき; つばき,8
味,233,flavor,mouth; not yet; one; tree; wood,ミ,あじ; あじ.わう,8,N4
妹,234,younger sister,woman; not yet; one; tree; wood,マイ,いもうと,8,N4
朱,235,vermilion,vermillion; drop; not yet; one; tree; wood,シュ,あけ,6,N1
株,236,stocks,tree; wood; vermillion; drop; not yet; one; tree; wood,シュ,かぶ,10,N1
若,237,young,flowers; right; by one’s side; mouth,ジャク; ニャク; ニャ,わか.い; わか-; も.しくわ; も.し; も.しくは,8,N3
草,238,grass,flowers; sunflower; early; sun; day; ten; needle,ソウ,くさ; くさ-; -ぐさ,9,N3
苦,239,suffering,flowers; old; tombstone; gravestone; church; ten; needle; mouth,ク,くる.しい; -ぐる.しい; くる.しむ; くる.しめる; にが.い; にが.る,8,N3
苛,240,bullying,flowers; can; mouth; street; street; nail; spike,カ,いじ.める; さいな.む; いらだ.つ; からい; こまかい,8
寛,241,tolerant,house; flowers; look; see; telescope; eye; human legs,カン,くつろ.ぐ; ひろ.い; ゆる.やか,13,N1
薄,242,dilute,flowers; water; water droplets; water pistol; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,ハク,うす.い; うす-; -うす; うす.める; うす.まる; うす.らぐ; うす.ら-; うす.れる; すすき,16,N2
葉,243,leaf,flowers; Tarzan; generation; tree; wood,ヨウ,は,12,N3
模,244,imitation,tree; wood; graveyard; flowers; sun; day; large; St. Bernard,モ; ボ,,14,N1
漠,245,vague,water; water droplets; water pistol; graveyard; flowers; sun; day; large; St. Bernard,バク,,13,N1
墓,246,grave,graveyard; flowers; sun; day; large; St. Bernard; soil; dirt; ground,ボ,はか,13,N1
暮,247,livelihood,graveyard; flowers; sun; day; large; St. Bernard,ボ,く.れる; く.らす,14,N3
膜,248,membrane,moon; month; flesh; part of the body; graveyard; flowers; sun; day; large; St. Bernard,マク,,14,N1
苗,249,seedling,flowers; rice field; brains,ビョウ; ミョウ,なえ; なわ-,8,N1
兆,250,portent,turtle,チョウ,きざ.す; きざ.し,6,N2
桃,251,peach tree,tree; wood; portent; turtle,トウ,もも,10,N1
眺,252,stare,eye; portent; turtle,チョウ,なが.める,11,N1
犬,253,dog,large; St. Bernard; drop,ケン,いぬ; いぬ-,4,N4
状,254,status quo,turtle; chihuahua; dog; large; drop,ジョウ,,7,N3
黙,255,silence,black; computer; chihuahua; dog; large; drop; oven-fire; barbecue,モク; ボク,だま.る; もだ.す,15,N1
然,256,sort of thing,moon; crescent moon; month; flesh; part of the body; chihuahua; dog; large; drop; oven-fire; barbecue,ゼン; ネン,しか; しか.り; しか.し; さ,12,N3
荻,257,reed,flowers; pack of wild dogs; fire,テキ,おぎ,10
狩,258,hunt,pack of wild dogs; guard; house; glue,シュ,か.る; か.り; -が.り,9,N1
猫,259,cat,pack of wild dogs; seedlings; flowers; rice field; brains,ビョウ,ねこ,11,N3
牛,260,cow,,ギュウ,うし,4,N4
特,261,special,cow; Buddhist temple; soil; dirt; ground; glue,トク,,10,N4
告,262,revelation,cow; mouth,コク,つ.げる,7,N3
先,263,before,cow; human legs,セン,さき; ま.ず,6,N5
洗,264,wash,water; water droplets; water pistol; before; cow; human legs,セン,あら.う,9,N3
介,265,jammed in,umbrella; stick; walking cane,カイ,,4,N2
界,266,world,rice field; brains; jammed in; umbrella; stick; cane,カイ,,9,N4
茶,267,tea,flowers; umbrella; wooden pole,チャ; サ,,9,N4
脊,268,spinal column,I Ching; Master Po; umbrella; moon; month; flesh; part of the body,セキ,せ; せい,10
合,269,fit,meeting; umbrella; one; mouth,ゴウ; ガッ; カッ,あ.う; -あ.う; あ.い; あい-; -あ.い; -あい; あ.わす; あ.わせる; -あ.わせる,6,N3
塔,270,pagoda,soil; dirt; ground; flowers; fit; meeting; umbrella; one; mouth,トウ,,12,N2
王,271,king,jewel; ball,オウ; ノウ,,4,N3
玉,272,jewel,king; ball; earring; drop,ギョク,たま; たま-; -だま,5,N2
宝,273,treasure,house; king; jewel; ball; earring; drop,ホウ,たから,8,N2
珠,274,pearl,king; jewel; ball; vermillion; drop; not yet; one; tree; wood,シュ,たま,10,N1
現,275,present,king; jewel; ball; see; telescope; eye; human legs,ゲン,あらわ.れる; あらわ.す; うつつ; うつ.つ,11,N3
玩,276,toy,king; jewel; ball; beginning; two; human legs,ガン,もちあそ.ぶ; もてあそ.ぶ,8
